ID,Score,Ground Truth,Threshold
Case_1,0.727,Negative,0.5
Case_2,0.675,Negative,0.5
Case_3,0.757,Positive,0.5
Case_4,0.257,Positive,0.5
Case_5,0.407,Negative,0.5
Case_6,0.409,Positive,0.5
Case_7,0.508,Negative,0.5
Case_8,0.944,Positive,0.5
Case_9,0.048,Positive,0.5
Case_10,0.011,Positive,0.5
Case_11,0.97,Positive,0.5
Case_12,0.288,Positive,0.5
Case_13,0.665,Positive,0.5
Case_14,0.027,Negative,0.5
Case_15,0.993,Negative,0.5
Case_16,0.722,Negative,0.5
Case_17,0.418,Negative,0.5
Case_18,0.652,Negative,0.5
Case_19,0.584,Positive,0.5
Case_20,0.902,Negative,0.5
Case_21,0.527,Positive,0.5
Case_22,0.208,Positive,0.5
Case_23,0.93,Negative,0.5
Case_24,0.398,Positive,0.5
Case_25,0.781,Negative,0.5
Case_26,0.219,Positive,0.5
Case_27,0.681,Negative,0.5
Case_28,0.313,Positive,0.5
Case_29,0.981,Negative,0.5
Case_30,0.345,Positive,0.5
Case_31,0.313,Negative,0.5
Case_32,0.935,Positive,0.5
Case_33,0.683,Positive,0.5
Case_34,0.671,Positive,0.5
Case_35,0.897,Positive,0.5
Case_36,0.744,Negative,0.5
Case_37,0.26,Negative,0.5
Case_38,0.504,Positive,0.5
Case_39,0.65,Positive,0.5
Case_40,0.437,Positive,0.5
Case_41,0.997,Positive,0.5
Case_42,0.813,Positive,0.5
Case_43,0.329,Negative,0.5
Case_44,0.954,Negative,0.5
Case_45,0.908,Positive,0.5
Case_46,0.192,Negative,0.5
Case_47,0.379,Positive,0.5
Case_48,0.437,Positive,0.5
Case_49,0.395,Positive,0.5
Case_50,0.469,Positive,0.5
